HE320M	359.00	309.00	40.00	21.00	27.00	31200.00	15060000.00	681300000.00	197100000.00	7539.00	20600.00	3795543.00	1275728.00	4435000.00	1951000.00	147.77	79.48
HE340M	377.00	309.00	40.00	21.00	27.00	31600.00	15120000.00	763700000.00	197100000.00	7917.00	20600.00	4051459.00	1275728.00	4718000.00	1953000.00	155.46	78.98
HE360M	395.00	308.00	40.00	21.00	27.00	31900.00	15130000.00	848700000.00	195200000.00	8295.00	20533.00	4297215.00	1267532.00	4989000.00	1942000.00	163.11	78.22
HE400M	432.00	307.00	40.00	21.00	27.00	32600.00	15200000.00	1041000000.00	193400000.00	9072.00	20467.00	4819444.00	1259935.00	5571000.00	1934000.00	178.70	77.02
HE450M	478.00	307.00	40.00	21.00	27.00	33500.00	15340000.00	1315000000.00	193400000.00	10038.00	20467.00	5502092.00	1259935.00	6331000.00	1939000.00	198.13	75.98
HE500M	524.00	306.00	40.00	21.00	27.00	34400.00	15440000.00	1619000000.00	191500000.00	11004.00	20400.00	6179389.00	1251634.00	7094000.00	1932000.00	216.94	74.61
HE550M	572.00	306.00	40.00	21.00	27.00	35400.00	15590000.00	1980000000.00	191600000.00	12012.00	20400.00	6923077.00	1252288.00	7933000.00	1937000.00	236.50	73.57
HE600M	620.00	305.00	40.00	21.00	27.00	36400.00	15700000.00	2374000000.00	189800000.00	13020.00	20333.00	7658065.00	1244590.00	8772000.00	1930000.00	255.38	72.21
HE650M	668.00	305.00	40.00	21.00	27.00	37400.00	15840000.00	2817000000.00	189800000.00	14028.00	20333.00	8434132.00	1244590.00	9657000.00	1936000.00	274.45	71.24
HE700M	716.00	304.00	40.00	21.00	27.00	38300.00	15950000.00	3293000000.00	188000000.00	15036.00	20267.00	9198324.00	1236842.00	10540000.00	1929000.00	293.22	70.06
HE800M	814.00	303.00	40.00	21.00	30.00	40400.00	16570000.00	4426000000.00	186300000.00	17094.00	20200.00	10874693.00	1229703.00	12490000.00	1930000.00	330.99	67.91
HE900M	910.00	302.00	40.00	21.00	30.00	42400.00	16830000.00	5704000000.00	184500000.00	19110.00	20133.00	12536264.00	1221854.00	14440000.00	1929000.00	366.78	65.97
HE1000M	1008.00	302.00	40.00	21.00	30.00	44400.00	17130000.00	7223000000.00	184600000.00	21168.00	20133.00	14331349.00	1222517.00	16570000.00	1940000.00	403.34	64.48
